Accession,Description,Genome Length (KB),molGC (%),Genus,Sub-family,Family,Host,Genome composition,Phage Species
NC_019420,Edwardsiella phage KF-1,42,48,Kafunavirus,Unclassified,Unclassified,Edwardsiella,dsDNA,vOTU_5548
OL959999,Edwardsiella phage vB_EpP_ZHX,42,48,Kafunavirus,Unclassified,Unclassified,Edwardsiella,dsDNA,vOTU_5548
MH898687,Edwardsiella phage Edno5,41,51,Gofduovirus,Unclassified,Unclassified,Edwardsiella,dsDNA,vOTU_5921
NC_054464,Edwardsiella phage Edno5,41,51,Gofduovirus,Unclassified,Unclassified,Edwardsiella,dsDNA,vOTU_5921
OQ910326,Edwardsiella phage EPP-1,39,52,Unclassified,Unclassified,Unclassified,Edwardsiella,dsDNA,vOTU_6723
MZ220766,Edwardsiella phage PVN09,38,49,Teseptimavirus,Studiervirinae,Autographiviridae,Edwardsiella,dsDNA,vOTU_6860
MW679026,Eggerthella phage LE2-3,112,63,Unclassified,Unclassified,Unclassified,Eggerthella,dsDNA,vOTU_1002
OP172808,Eggerthella phage EL753P1,44,59,Unclassified,Unclassified,Unclassified,Eggerthella,dsDNA,vOTU_4696
MH626557,Eggerthella phage PMBT5,31,51,Lentavirus,Unclassified,Unclassified,Eggerthella,dsDNA,vOTU_7657
NC_048022,Eggerthella phage PMBT5,31,51,Lentavirus,Unclassified,Unclassified,Eggerthella,dsDNA,vOTU_7657
MW679025,Eggerthella phage LE1-1,16,56,Unclassified,Unclassified,Guelinviridae,Eggerthella,dsDNA,vOTU_8187
MN732896,Elizabethkingia phage TCUEAP1,50,39,Unclassified,Unclassified,Unclassified,Elizabethkingia,dsDNA,vOTU_3432
OK632025,Elizabethkingia phage TCUEAP2,43,39,Unclassified,Unclassified,Unclassified,Elizabethkingia,dsDNA,vOTU_5211
OM284015,Elizabethkingia phage EKP1,39,51,Unclassified,Unclassified,Unclassified,Elizabethkingia,dsDNA,vOTU_6649
OK632026,Elizabethkingia phage TCUEAP3,33,35,Unclassified,Unclassified,Unclassified,Elizabethkingia,dsDNA,vOTU_7508
MT341500,Enterobacter phage EBPL,180,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0285
MN508621,Enterobacter phage EC-W1,179,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0285
OQ571799,Enterobacter phage phi5,179,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0303
LC589952,Enterobacter phage vB_EkoM5VN,178,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0285
MN508623,Enterobacter phage EC-F1,178,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0303
MN508624,Enterobacter phage EC-F2,178,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0303
MW629017,Enterobacter phage PF-CE2,178,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0285
OL551674,Enterobacter phage vB_EcRAM-01,178,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0306
PP337149,Enterobacter phage HK6,178,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0285
MN508622,Enterobacter phage EC-W2,177,45,Pseudotevenvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0319
KT321315,Enterobacter phage phiEap-3,176,42,Slopekvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0232
NC_041980,Enterobacter phage phiEap-3,176,42,Slopekvirus,Unclassified,Straboviridae,Enterobacter,dsDNA,vOTU_0232
MN882610,Enterobacter phage vB_EclM_CIP9,175,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0337
NC_048849,Enterobacter phage vB_EclM_CIP9,175,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0337
ON454249,Enterobacter phage vB_EclM-UFV01,175,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0347
ON585039,Enterobacter phage Entb_43,175,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0345
NC_070778,Enterobacter phage vB_EclM_Q7622,174,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0353
OL828291,Enterobacter phage vB-EclM_KMB20,174,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0349
OL989991,Enterobacter phage vB_EclM_Q7622,174,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0353
PP236086,Enterobacter phage ZX14,174,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0353
KJ101592,Enterobacter phage PG7,173,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0345
MG999954,Enterobacter phage myPSH1140,173,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0349
MN087708,Enterobacter phage vB_EhoM-IME523,173,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0366
NC_023561,Enterobacter phage PG7,173,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0345
NC_055739,Enterobacter phage myPSH1140,173,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0349
NC_070777,Enterobacter phage vB_EhoM-IME523,173,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0366
OL828290,Enterobacter phage vB-EclM_KMB19,173,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0345
OL849997,Enterobacter phage vB-EclM_KMB17,173,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0368
ON630910,Enterobacter phage Entb_45,173,40,Kanagawavirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0337
OR567511,Enterobacter phage vB_Ent31,173,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0360
ON212265,Enterobacter phage fGh-Ecl01,172,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0347
ON212267,Enterobacter phage fGh-Ecl04,172,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0347
OQ721912,Enterobacter phage vB_VIPECLOM01,172,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0347
OQ721913,Enterobacter phage vB_VIPECLUMC02,172,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0347
OR753410,Enterobacter phage vB_EclM_AS6,171,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0345
GU323318,Enterobacter phage CC31,166,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0456
NC_014662,Enterobacter phage CC31,166,40,Karamvirus,Tevenvirinae,Straboviridae,Enterobacter,dsDNA,vOTU_0456
LC373201,Enterobacter phage EspM4VN,161,51,Agtrevirus,Aglimvirinae,Ackermannviridae,Enterobacter,dsDNA,vOTU_0509
NC_049384,Enterobacter phage EspM4VN,161,51,Agtrevirus,Aglimvirinae,Ackermannviridae,Enterobacter,dsDNA,vOTU_0509
ON212266,Enterobacter phage fGh-Ecl02,153,49,Kuttervirus,Cvivirinae,Ackermannviridae,Enterobacter,dsDNA,vOTU_0565
OL744211,Enterobacter phage vB_ExiM_F1M1E,150,51,Certrevirus,Vequintavirinae,Unclassified,Enterobacter,dsDNA,vOTU_0627
OL744214,Enterobacter phage vB_ExiM_F2M1E,150,51,Certrevirus,Vequintavirinae,Unclassified,Enterobacter,dsDNA,vOTU_0627
OL744216,Enterobacter phage vB_ExiM_F4M1E,150,51,Certrevirus,Vequintavirinae,Unclassified,Enterobacter,dsDNA,vOTU_0627
OL744219,Enterobacter phage vB_ExiM_F5M1E,150,51,Certrevirus,Vequintavirinae,Unclassified,Enterobacter,dsDNA,vOTU_0627
PP681140,Enterobacter phage EC152,148,46,Seunavirus,Vequintavirinae,Unclassified,Enterobacter,dsDNA,vOTU_0648
PP579741,Enterobacter phage KKP_3711,114,38,Unclassified,Markadamsvirinae,Demerecviridae,Enterobacter,dsDNA,vOTU_0973
MG589384,Enterobacter phage phi63_307,85,44,Kolesnikvirus,Ounavirinae,Unclassified,Enterobacter,dsDNA,vOTU_1344
MW032452,Enterobacter phage N5822,78,49,Henuseptimavirus,Tempevirinae,Drexlerviridae,Enterobacter,dsDNA,vOTU_1472
MW464860,Enterobacter phage EC151,61,48,Unclassified,Queuovirinae,Unclassified,Enterobacter,dsDNA,vOTU_2151
HQ641380,Enterobacter phage EcP1,59,37,Eceepunavirus,Unclassified,Schitoviridae,Enterobacter,dsDNA,vOTU_2328
NC_019485,Enterobacter phage EcP1,59,37,Eceepunavirus,Unclassified,Schitoviridae,Enterobacter,dsDNA,vOTU_2328
OR508996,Enterobacter phage Mulvp2,59,50,Unclassified,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_2385
KX452700,Enterobacter phage KNP7,58,56,Chivirus,Unclassified,Casjensviridae,Enterobacter,dsDNA,vOTU_0659
OP272490,Enterobacter phage 01_vB_Eclo_IJM,56,53,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_2618
JN672684,Enterobacter phage F20,52,48,Webervirus,Unclassified,Drexlerviridae,Enterobacter,dsDNA,vOTU_3171
MG732930,Enterobacter phage Ec_L1,52,48,Eclunavirus,Unclassified,Drexlerviridae,Enterobacter,dsDNA,vOTU_3119
MZ669808,Enterobacter phage Phc,52,49,Eclunavirus,Unclassified,Drexlerviridae,Enterobacter,dsDNA,vOTU_3052
NC_042122,Enterobacter phage Ec_L1,52,48,Eclunavirus,Unclassified,Drexlerviridae,Enterobacter,dsDNA,vOTU_3119
NC_043469,Enterobacter phage F20,52,48,Webervirus,Unclassified,Drexlerviridae,Enterobacter,dsDNA,vOTU_3171
OR753409,Enterobacter phage vB_EclS_AS5,50,48,Henuseptimavirus,Tempevirinae,Drexlerviridae,Enterobacter,dsDNA,vOTU_3483
NC_071003,Enterobacter phage vB_EclS_CobraSix,48,53,Cobrasixvirus,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_3788
OK499971,Enterobacter phage vB_EclS_CobraSix,48,53,Cobrasixvirus,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_3788
MN656993,Enterobacter phage ATCEA85,47,56,Unclassified,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_3846
CP115603,Enterobacter phage MStein-2023a,46,51,Ravinvirus,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_4180
OQ957557,Enterobacter phage ST22,46,56,Unclassified,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_4130
KX452696,Enterobacter phage KNP3,45,39,Teetrevirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4367
NC_047856,Enterobacter phage KNP3,45,39,Teetrevirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4366
OQ884031,Enterobacter phage SDFMU_EhYP,45,52,Koutsourovirus,Slopekvirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4474
JQ267518,Enterobacter phage phiKDA1,44,52,Koutsourovirus,Slopekvirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4776
NC_027980,Enterobacter phage phiKDA1,44,52,Koutsourovirus,Slopekvirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4776
MW419910,Enterobacter phage ATCEA23,44,56,Unclassified,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_3846
OQ884028,Enterobacter phage SDFMU_Pec,44,52,Koutsourovirus,Slopekvirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4577
KX231828,Enterobacter phage Arya,42,54,Jilinvirus,Iiscvirinae,Unclassified,Enterobacter,dsDNA,vOTU_5490
KX231829,Enterobacter phage Tyrion,42,51,Uetakevirus,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_5561
NC_031048,Enterobacter phage Arya,42,54,Jilinvirus,Iiscvirinae,Unclassified,Enterobacter,dsDNA,vOTU_5490
NC_031077,Enterobacter phage Tyrion,42,51,Uetakevirus,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_5561
MT625440,Enterobacter phage PZJ0206,41,49,Berlinvirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6056
MK033136,Enterobacter phage EcpYZU01,40,52,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6352
KT287080,Enterobacter phage phiEap-2,40,52,Unclassified,Guernseyvirinae,Unclassified,Enterobacter,dsDNA,vOTU_6073
MW205203,Enterobacter phage BUCT554,40,53,Uetakevirus,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_6155
MW748991,Enterobacter phage IME278,40,52,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6212
MZ223858,Enterobacter phage EV136_1,40,52,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6212
NC_048135,Enterobacter phage EcpYZU01,40,52,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6352
OK663600,Enterobacter phage vB_SEqdws-315,40,49,Berlinvirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6056
OM457002,Enterobacter phage EP1,40,52,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6289
NC_028695,Enterobacter phage phiEap-2,40,52,Unclassified,Guernseyvirinae,Unclassified,Enterobacter,dsDNA,vOTU_6073
OR822025,Enterobacter phage NJ2,40,53,Berlinvirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6421
PP869411,Enterobacter phage vB_EclP_26,40,52,Unclassified,Unclassified,Unclassified,Enterobacter,dsDNA,vOTU_6144
KP791807,Enterobacter phage E-4,39,51,Teetrevirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6457
KT321314,Enterobacter phage phiEap-1,39,52,Eapunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6591
NC_028772,Enterobacter phage phiEap-1,39,52,Eapunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6591
OK210074,Enterobacter phage KKP_3263,39,51,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6494
OP272491,Enterobacter phage 02_vB_Eclo_IJM,39,52,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_2618
OP272492,Enterobacter phage 03_vB_Eclo_IJM,39,52,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_2618
OP272493,Enterobacter phage 04_vB_Eclo_IJM,39,53,Kayfunavirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_2618
KP791805,Enterobacter phage E-2,36,51,Teetrevirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6229
NC_029102,Enterobacter phage E-2,36,51,Teetrevirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_6229
KP791806,Enterobacter phage E-3,32,51,Teetrevirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4366
MG589387,Enterobacter phage phiT5282H,32,52,Novemvirus,Unclassified,Peduoviridae,Enterobacter,dsDNA,vOTU_7588
NC_028795,Enterobacter phage E-3,32,51,Teetrevirus,Studiervirinae,Autographiviridae,Enterobacter,dsDNA,vOTU_4366
NC_049429,Enterobacter phage phiT5282H,32,52,Novemvirus,Unclassified,Peduoviridae,Enterobacter,dsDNA,vOTU_7588
MN688132,Enterobacter phage LAU1,31,52,Unclassified,Hendrixvirinae,Unclassified,Enterobacter,dsDNA,vOTU_7669
KU726251,Enterobacteria phage SEGD1,239,49,Seoulvirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_0139
MH051917,Enterobacteria phage vB_EcoM_IME341,172,40,Dhakavirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0377
NC_055742,Enterobacteria phage vB_EcoM_IME341,172,40,Dhakavirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0377
MH051913,Enterobacteria phage vB_EcoM_IME281,171,39,Dhakavirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0401
NC_055740,Enterobacteria phage vB_EcoM_IME281,171,39,Dhakavirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0401
KT184309,Enterobacteria phage ATK47,170,38,Mosigvirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0250
KT184310,Enterobacteria phage ATK48,170,38,Mosigvirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0250
MT150133,Enterobacteria phage vB_EcoM_IME540,170,39,Dhakavirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0373
NC_055708,Enterobacteria phage ATK47,170,38,Mosigvirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0250
AP018814,Enterobacteria phage T6,169,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
HM137666,Enterobacteria phage T4T,169,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
KM607002,Enterobacteria phage RB55,169,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
KM607003,Enterobacteria phage RB59,169,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
MH550421,Enterobacteria phage T6,169,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
MZ504876,Enterobacteria phage Brandy,169,41,Krischvirus,Unclassified,Straboviridae,Enterobacteria,dsDNA,vOTU_0414
NC_054907,Enterobacteria phage T6,169,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
FJ839693,Enterobacteria phage RB51,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0428
KM606995,Enterobacteria phage RB5,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
KM606996,Enterobacteria phage RB6,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
KM606997,Enterobacteria phage RB7,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
KM606998,Enterobacteria phage RB9,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
KM606999,Enterobacteria phage RB10,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
KM607004,Enterobacteria phage RB68,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0428
KT184308,Enterobacteria phage Aplg8,168,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
NC_012635,Enterobacteria phage RB51,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0428
NC_027979,Enterobacteria phage RB68,168,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0428
NC_054902,Enterobacteria phage Aplg8,168,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
OK040907,Enterobacteria phage Ac3,168,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0428
KT184311,Enterobacteria phage GiZh,167,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
KT184312,Enterobacteria phage Kha5h,167,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
MH553563,Enterobacteria phage RB18,167,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
NC_054903,Enterobacteria phage GiZh,167,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
NC_054905,Enterobacteria phage Kha5h,167,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
NC_054906,Enterobacteria phage RB18,167,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
KM607001,Enterobacteria phage RB33,166,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
MH051916,Enterobacteria phage vB_EcoM_IME340,166,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
MZ504878,Enterobacteria phage Whisky,166,40,Krischvirus,Unclassified,Straboviridae,Enterobacteria,dsDNA,vOTU_0414
NC_054904,Enterobacteria phage vB_EcoM_IME340,166,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
KM607000,Enterobacteria phage RB27,165,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
MT630408,Enterobacteria phage phiC600P9,165,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
MZ681930,Enterobacteria phage phiC600P9,165,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
NC_025448,Enterobacteria phage RB27,165,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
MH051915,Enterobacteria phage vB_EcoM_IME339,164,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
MZ504877,Enterobacteria phage Cognac,164,40,Krischvirus,Unclassified,Straboviridae,Enterobacteria,dsDNA,vOTU_0397
NC_055741,Enterobacteria phage vB_EcoM_IME339,164,36,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0246
OM339528,Enterobacteria phage SV76,164,35,Tequatrovirus,Tevenvirinae,Straboviridae,Enterobacteria,dsDNA,vOTU_0359
HE978309,Enterobacteria phage GEC-3S,163,41,Krischvirus,Unclassified,Straboviridae,Enterobacteria,dsDNA,vOTU_0397
NC_025425,Enterobacteria phage GEC-3S,163,41,Krischvirus,Unclassified,Straboviridae,Enterobacteria,dsDNA,vOTU_0397
KU522583,Enterobacteria phage ECGD1,147,37,Justusliebigvirus,Stephanstirmvirinae,Unclassified,Enterobacteria,dsDNA,vOTU_0621
AF503408,Enterobacteria phage P7,102,47,Punavirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_1097
NC_050152,Enterobacteria phage P7,102,47,Punavirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_1097
KT184316,Enterobacteria phage XTG1,90,39,Felixounavirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1264
JN225449,Enterobacteria phage UAB_Phi87,88,39,Felixounavirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1321
KT184313,Enterobacteria phage KhF1,88,39,Felixounavirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1264
KT184314,Enterobacteria phage KhF2,88,39,Felixounavirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1264
KT184315,Enterobacteria phage KhF3,88,39,Felixounavirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1264
MK562504,Enterobacteria phage CHB7,88,40,Suspvirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1317
NC_027360,Enterobacteria phage UAB_Phi87,88,39,Felixounavirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1321
PP461118,Enterobacteria phage ECP2307,87,39,Unclassified,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_1284
MH051914,Enterobacteria phage vB_EcoM_IME338,86,39,Felixounavirus,Ounavirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1370
AP000422,Enterobacteria phage VT2-Sakai,66,50,Traversvirus,Sepvirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1895
HQ424691,Enterobacteria phage VT2phi_272,66,50,Oslovirus,Sepvirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1878
NC_028656,Enterobacteria phage VT2phi_272,66,50,Oslovirus,Sepvirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1878
AP000363,Enterobacteria phage VT2-Sakai,61,50,Traversvirus,Sepvirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1895
KP719132,Enterobacteria phage JenP1,61,43,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_2150
KP719134,Enterobacteria phage JenK1,61,44,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1941
NC_000902,Enterobacteria phage VT2-Sakai,61,50,Traversvirus,Sepvirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1895
NC_029021,Enterobacteria phage JenK1,61,44,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1941
NC_029028,Enterobacteria phage JenP1,61,43,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_2150
KP719133,Enterobacteria phage JenP2,60,43,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_2250
NC_028997,Enterobacteria phage JenP2,60,43,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_2250
AJ556162,Enterobacteria phage BP-4795,58,51,Marienburgvirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2460
NC_004813,Enterobacteria phage BP-4795,58,51,Marienburgvirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2460
FM180578,Enterobacteria phage 2851,57,51,Pankowvirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2030
KJ419279,Enterobacteria phage 9g,57,44,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1941
NC_024146,Enterobacteria phage 9g,57,44,Nonagvirus,Queuovirinae,Unclassified,Enterobacteria,dsDNA,vOTU_1941
NC_049943,Enterobacteria phage 2851,57,51,Pankowvirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2030
AP000400,Enterobacteria phage VT1-Sakai,56,52,Unclassified,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2594
FJ184280,Enterobacteria phage YYZ-2008,55,51,Pankowvirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2732
MH706966,Enterobacteria phage mEp021,55,46,Unclassified,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2766
NC_011356,Enterobacteria phage YYZ-2008,55,51,Pankowvirus,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_2732
AJ304858,Enterobacteria phage CP-1639,51,50,Unclassified,Unclassified,Unclassified,Enterobacteria,dsDNA,vOTU_3291
MH051911,Enterobacteria phage vB_EcoS_IME18,50,46,Tunavirus,Tunavirinae,Drexlerviridae,Enterobacteria,dsDNA,vOTU_3343
MH051912,Enterobacteria phage vB_EcoS_IME167,50,46,Tunavirus,Tunavirinae,Drexlerviridae,Enterobacteria,dsDNA,vOTU_3429
